ID,Value,Category
8355,28.34233689272906,C
2816,33.62747996002292,A
5444,23.349968696349126,A
3410,47.10423413612897,B
6329,60.57234003192836,C
2413,25.651744622607573,A
5841,79.98351149419048,C
7580,84.73679597883196,B
7166,73.681126262595,B
4416,9.74556681348046,B
6603,89.82655643375021,B
6965,70.12848124071662,C
6242,99.76681750368965,C
1727,22.70228404240994,B
3846,25.50402654181346,B
8225,15.405081824690663,B
1636,37.95839074376701,C
7014,87.90789526622036,C
7165,41.82509935803368,A
6317,73.61275569114375,A
2969,34.238652771568596,B
3372,3.6417916191328787,C
6936,31.755888450047067,B
8840,53.63521866670611,C
7487,58.33789894355334,B
9010,36.49098013660722,C
2241,28.57411115821276,B
6155,78.01645256637208,C
7453,11.973595366169377,C
3147,38.115787529692476,A
5507,21.799937996087458,C
8169,35.63761357001073,C
8658,76.73432897204259,C
9028,83.67801583839463,C
9015,74.66652507041326,B
2735,78.87027908808953,C
4275,18.571318226458253,B
9902,81.3771368196111,B
9554,93.37641474151951,A
7984,54.17800773993195,B
3440,26.434004918042007,C
2107,4.540061621241122,B
4766,87.53225096606523,B
6485,47.653544422222616,A
6700,4.899903258066228,A
9936,35.87041227066649,C
5216,74.17241098235475,C
3931,70.38770150424473,A
3728,30.58911381505277,A
5211,87.75982014757366,C
4660,74.67639739415155,C
6756,19.872153580899163,C
4459,21.265745560451165,C
1224,59.136914508860826,C
2159,42.631702709761605,B
5043,80.1128770205532,A
9959,85.20971495712492,C
7084,44.719264307261085,B
1573,38.02219372700866,B
9533,99.08805455465674,A
5069,82.37523814097611,C
8969,58.78486823681508,A
8003,38.68640540670103,C
3707,50.32081443026568,B
5346,84.7410054649518,C
6665,48.84044247708538,B
7054,49.550951346977875,C
3652,88.92792585490909,A
6227,17.970842837373286,C
5880,95.60303205534505,C
5716,3.128905725463863,B
8173,73.01226622225283,B
6829,63.95425648037694,B
9004,4.87805162141456,C
5563,27.277702733290155,B
7349,44.86618897096451,B
7838,10.006802423039549,C
2962,60.33871797102871,C
3716,65.302767897923,C
4733,56.73154995003998,B
6027,59.41317048657716,A
8040,25.706905219709046,B
5281,55.10643585032093,A
8522,50.04852456117004,B
9299,91.48721027758154,C
3319,16.587122457218562,B
2856,40.827327803359765,C
7081,86.49406611415053,C
4531,31.398661940728985,B
9448,64.10008849863688,A
6674,34.63457173684132,A
9826,26.6931480572645,C
9366,10.975824489881884,A
5808,37.25889366566678,A
7935,62.024181181021554,C
9519,19.124061080477812,A
5733,89.45711398295424,C
7694,9.518225948894928,C
2693,88.14838332089089,A
1416,10.489293739588133,C
8280,60.47052718784421,C
9220,87.98241053576255,C
7620,99.84648294704066,C
6076,98.12176122581926,A
4639,14.826994281297868,B
6668,93.0153325813331,A
5164,72.5316616398309,C
1028,85.53697769189979,B
3927,18.44472936623343,B
1437,71.68187632189213,C
1701,68.78373323539343,A
3104,44.43864082938867,B
4065,48.15507351450413,B
7619,43.15876747758515,A
8508,31.596179396466738,A
9107,33.19517035426975,B
6001,71.04246727051742,A
1255,35.667672964485085,A
7077,55.27070816272797,B
1349,37.33798785319099,B
9365,34.29624942903585,B
6946,93.72118210442562,B
7669,5.800178894259972,B
7820,44.909275431949816,B
1033,16.609984110173706,A
1612,46.965872656226324,B
9647,40.34959790416355,C
6336,20.872836201406823,B
7993,18.767176698998846,A
5119,58.9754841655796,A
1758,90.49646209638479,C
5315,82.64920403512566,A
6557,73.8831737317126,B
3963,72.35657429779965,A
8480,38.766393222848755,B
9478,66.25159208901809,B
7990,62.13313501418288,A
9428,74.67192527193272,B
1782,70.87535680825069,C
9384,90.7670868598052,A
4382,19.16292896477564,B
6816,96.47455136886532,A
1206,23.86818669629318,C
4206,28.537031133136544,C
4956,6.592755739593922,A
3539,67.56650755267776,B
2261,73.13394622747462,C
2911,24.925719962603,B
6736,70.26784884155155,C
9821,69.79684314074713,C
4712,84.30043284141755,C
5464,46.553277181096476,A
7244,56.268450920326664,B
2758,49.728245294165895,C
9798,85.11704209418653,B
7895,76.49128737466195,C
4577,38.4729732638548,A
1336,21.007605567435853,C
7357,74.17814650631368,C
1188,42.09660209025522,C
7316,37.54873176571156,B
2673,26.587069633871693,C
3967,81.04627793668341,B
6957,16.74554777378084,A
4268,94.39505239602094,A
7096,99.60462132881369,B
7494,16.97294195422032,C
3830,38.18462694784508,A
1167,94.74015280758451,A
7563,24.318483490342853,A
7052,74.17412066371014,A
5494,69.09786643212831,C
4429,96.42077672144603,A
4053,8.560921164938662,C
3543,17.15558124937765,C
